"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name2","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","url","imported_at","match_type","match_value","prescore","score","local_id","global_id","current_taxon_id","current_name_string"
"Ovalipes ocellatus","Ovalipes ocellatus",4,"National Center for Biotechnology Information","f4a47fe7-a9e8-5f23-8413-06ce5a783870","Ovalipes ocellatus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Portunoidea|Ovalipidae|Ovalipes|Ovalipes ocellatus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6752|116704|116706|6774|2559385|156085|619708","619708",0,NA,"2023-02-23T23:59:53Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Sesarma reticulatum","Sesarma reticulatum",4,"National Center for Biotechnology Information","9a3f8a03-ffa5-57e6-a2ff-da2611ee43d9","Sesarma reticulatum","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Thoracotremata|Grapsoidea|Sesarmidae|Sesarma|Sesarma reticulatum","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6752|116704|116707|29962|72801|39557|39558","39558",0,NA,"2023-02-23T23:43:49Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Uca pugnax","Uca pugnax",2,"Wikispecies","9f9ebd8f-7ee8-5514-b8ee-a1aa520038ab","Uca pugnax","","","","469566",0,"http://species.wikimedia.org/wiki/Uca_pugnax","2023-03-01T19:37:41Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Uca pugilator","Uca pugilator",2,"Wikispecies","1fec1fd5-6c10-5f4a-9797-5ae4f966915b","Uca pugilator","","","","158099",0,"http://species.wikimedia.org/wiki/Uca_pugilator","2023-03-01T19:33:56Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Pandalus borealis","Pandalus borealis",2,"Wikispecies","e6a8efe6-eadd-5205-9302-edac66a24e94","Pandalus borealis","","","","1169307",0,"http://species.wikimedia.org/wiki/Pandalus_borealis","2023-03-01T19:42:40Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Aristaeomorpha foliacea","Aristaeomorpha foliacea",2,"Wikispecies","2f350b97-5c80-5f74-a23c-e85722066ff9","Aristaeomorpha foliacea","","","","150387",0,"http://species.wikimedia.org/wiki/Aristaeomorpha_foliacea","2023-03-01T19:33:51Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cerataspis monstrosus Gray","Cerataspis monstrosus gray",9,"World Register of Marine Species","e1a75b5c-d3b5-5bad-949a-37b796cd9751","Cerataspis monstrosus","Biota|Animalia|Arthropoda|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Dendrobranchiata|Penaeoidea|Aristeidae|Cerataspis|Cerataspis monstrosus","|Kingdom|Phylum|Subphylum|Superclass|Class|Subclass|Superorder|Order|Suborder|Superfamily|Family|Genus|Species","urn:lsid:marinespecies.org:taxname:1|urn:lsid:marinespecies.org:taxname:2|urn:lsid:marinespecies.org:taxname:1065|urn:lsid:marinespecies.org:taxname:1066|urn:lsid:marinespecies.org:taxname:845959|urn:lsid:marinespecies.org:taxname:1071|urn:lsid:marinespecies.org:taxname:1086|urn:lsid:marinespecies.org:taxname:1089|urn:lsid:marinespecies.org:taxname:1130|urn:lsid:marinespecies.org:taxname:106669|urn:lsid:marinespecies.org:taxname:106683|urn:lsid:marinespecies.org:taxname:106725|urn:lsid:marinespecies.org:taxname:589793|urn:lsid:marinespecies.org:taxname:589796","urn:lsid:marinespecies.org:taxname:589796",0,NA,"2023-03-08T18:26:50Z",4,"Partial exact match","3|0|0",0.988,NA,NA,NA,NA
"Hemipenaeus carpenteri","Hemipenaeus carpenteri",2,"Wikispecies","f52f450c-90d6-52c7-9095-0369b56214a5","Hemipenaeus carpenteri","","","","150394",0,"http://species.wikimedia.org/wiki/Hemipenaeus_carpenteri","2023-03-01T19:33:51Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Hepomadus tener","Hepomadus tener",2,"Wikispecies","246e7f9e-665e-5a1c-82c0-c65096a833bb","Hepomadus tener","","","","150389",0,"http://species.wikimedia.org/wiki/Hepomadus_tener","2023-03-01T19:33:51Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Heterocarpus ensifer","Heterocarpus ensifer",2,"Wikispecies","73cf2962-abfd-5a02-a176-1a5de85c6fb1","Heterocarpus ensifer","","","","150084",0,"http://species.wikimedia.org/wiki/Heterocarpus_ensifer","2023-03-01T19:33:50Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Pandalus montagui","Pandalus montagui",4,"National Center for Biotechnology Information","809f9bdb-59b0-5412-8e72-526ff8de26d4","Pandalus montagui","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Caridea|Pandaloidea|Pandalidae|Pandalus|Pandalus montagui","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6694|115583|6701|6702|397978","397978",0,NA,"2023-02-23T23:54:17Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Farfantepenaeus aztecus","Farfantepenaeus aztecus",12,"Encyclopedia of Life","06072231-c53c-5a93-a7ae-7a31a4096c57","Farfantepenaeus aztecus","","","","344212",0,NA,"2023-03-01T21:56:02Z",1,"Exact string match","3|0|0",0.988,"344212",NA,NA,NA
"Squilla empusa","Squilla empusa",4,"National Center for Biotechnology Information","71928523-41ba-523f-83f3-e3869b67abe2","Squilla empusa","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Hoplocarida|Stomatopoda|Unipeltata|Squilloidea|Squillidae|Squilla|Squilla empusa","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order||superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|75389|75390|77689|84347|84348|84349|84350","84350",0,NA,"2023-02-23T23:45:16Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Stenopus scutellatus","Stenopus scutellatus",4,"National Center for Biotechnology Information","eb03f425-7a96-5a87-883a-abd936471499","Stenopus scutellatus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Stenopodidea|Stenopodidae|Stenopus|Stenopus scutellatus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|family|genus|species","131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6682|6683|6692|6812|6813|6814|1986563","1986563",0,NA,"2023-02-24T00:37:47Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Acanthodoris pilosa","Acanthodoris pilosa",2,"Wikispecies","f704fbac-c014-548d-a88a-825fd337f947","Acanthodoris pilosa","","","","516614",0,"http://species.wikimedia.org/wiki/Acanthodoris_pilosa","2023-03-01T19:38:10Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Aeolidia papillosa","Aeolidia papillosa",2,"Wikispecies","6c52db8a-d7b0-5801-90a8-7a4cdcb99197","Aeolidia papillosa","","","","151660",0,"http://species.wikimedia.org/wiki/Aeolidia_papillosa","2023-03-01T19:33:51Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cuthona concinna","Cuthona concinna",166,"nlbif","d48a2805-11b3-5131-ab5c-bea0b5705963","Cuthona concinna","","","","132195072",0,"http://www.nlbif.nl/species_details.php?name=Cuthona+concinna","2012-02-09T15:33:20Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Cuthona gymnota","Cuthona gymnota",166,"nlbif","45211ffb-acd9-57e7-a2fa-0b492f813e24","Cuthona gymnota","","","","132195074",0,"http://www.nlbif.nl/species_details.php?name=Cuthona+gymnota","2012-02-09T15:34:09Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Dendronotus frondosus","Dendronotus frondosus",2,"Wikispecies","4261481d-764e-5f94-ac06-ec8f7d042bf0","Dendronotus frondosus","","","","161697",0,"http://species.wikimedia.org/wiki/Dendronotus_frondosus","2023-03-01T19:33:58Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Diaphoreolis viridis","Diaphoreolis viridis",4,"National Center for Biotechnology Information","4eb9e73a-7dd2-5af7-968e-d1c5c4c252d7","Diaphoreolis viridis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Cladobranchia|Fionoidea|Trinchesiidae|Diaphoreolis|Diaphoreolis viridis","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|superorder|order|suborder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|680346|70849|1707744|1287635|2053715|2066955|1920055","1920055",0,NA,"2023-02-24T00:35:45Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Doris pseudoargus","Doris pseudoargus",4,"National Center for Biotechnology Information","15c37d1f-e4b6-5e36-a2e4-206051caeb47","Doris pseudoargus","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Doridina|Eudoridoidea|Dorididae|Doris|Doris pseudoargus","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|superorder|order|infraorder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|680346|70849|216331|6514|146272|146270|1677693","1677693",0,NA,"2023-02-24T00:28:35Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Doto coronata","Doto coronata",4,"National Center for Biotechnology Information","db394259-58d9-5d2d-a61f-bfc0b1e4b830","Doto coronata","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Cladobranchia|Dendronotoidea|Dotidae|Doto|Doto coronata","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|superorder|order|suborder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|680346|70849|1707744|216351|71468|71469|154624","154624",0,NA,"2023-02-23T23:47:24Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Doto formosa","Doto formosa",4,"National Center for Biotechnology Information","dcf6330a-c904-539c-b507-ab0ce2123422","Doto formosa","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Cladobranchia|Dendronotoidea|Dotidae|Doto|Doto formosa","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|superorder|order|suborder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|680346|70849|1707744|216351|71468|71469|1552835","1552835",0,NA,"2023-02-24T00:24:57Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Doto fragilis","Doto fragilis",4,"National Center for Biotechnology Information","e00ccc43-0f15-50f4-b9f5-62d321b92b99","Doto fragilis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Cladobranchia|Dendronotoidea|Dotidae|Doto|Doto fragilis","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|superorder|order|suborder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|680346|70849|1707744|216351|71468|71469|71470","71470",0,NA,"2023-02-23T23:44:45Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Eubranchus pallidus","Eubranchus pallidus",166,"nlbif","0e2f18df-6f62-58a3-80e5-cc6358d16776","Eubranchus pallidus","","","","132197139",0,"http://www.nlbif.nl/species_details.php?name=Eubranchus+pallidus","2012-02-09T15:33:20Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Eubranchus tricolor","Eubranchus tricolor",4,"National Center for Biotechnology Information","a926abfd-82f4-56b3-afc5-7af08fe74d48","Eubranchus tricolor","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Cladobranchia|Fionoidea|Eubranchidae|Eubranchus|Eubranchus tricolor","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|superorder|order|suborder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|680346|70849|1707744|1287635|2692184|71487|1676543","1676543",0,NA,"2023-02-24T00:28:33Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Facelina bostoniensis","Facelina bostoniensis",4,"National Center for Biotechnology Information","5dff93e4-b8be-5996-a645-3aedbfc9d986","Facelina bostoniensis","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Cladobranchia|Aeolidioidea|Facelinidae|Facelina|Facelina bostoniensis","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|superorder|order|suborder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|680346|70849|1707744|71481|929463|154648|219665","219665",0,NA,"2023-02-23T23:49:17Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Fiona pinnata","Fiona pinnata",2,"Wikispecies","ef27bd5b-7dbe-5f37-bcc5-6689002047a7","Fiona pinnata","","","","513430",0,"http://species.wikimedia.org/wiki/Fiona_pinnata","2023-03-01T19:38:09Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Flabellina pellucida","Flabellina pellucida",169,"uBio NameBank","2caf7755-0f5d-5b24-aedc-cbef007cbaef","Flabellina pellucida","|Flabellina pellucida","kingdom|","","95898628",0,"http://www.ubio.org/browser/details.php?namebankID=2689850","2013-05-31T15:06:33Z",1,"Exact string match","3|0|0",0.988,"urn:lsid:ubio.org:namebank:2689850","urn:lsid:ubio.org:namebank:2689850",NA,NA
"Flabellina salmonacea","Flabellina salmonacea",10,"Freebase","3e64df02-7ff8-5ea3-a3fb-767927cbb6d2","Flabellina salmonacea","Flabellina salmonacea","","/m/0g9yk0x","/m/0g9yk0x",0,NA,"2012-08-01T14:12:26Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Flabellina verrilli (not formally named)","Flabellina verrilli (not formally named)",1,"Catalogue of Life Checklist","4eaf0306-f314-5dfd-b797-3a0648a2a297","Flabellina","Biota|Chromista|Foraminifera|Nodosariata|Nodosariana|Nodosariida|Nodosariina|Nodosarioidea|Nodosariidae|Frondiculariinae|Frondicularia|Neoflabellina|Flabellina","unranked|kingdom|phylum|class|subclass|order|suborder|superfamily|family|subfamily|genus|genus|subgenus","5T6MX|C|4F|7ZSTL|7ZSTQ|7ZSTY|7ZSVK|7NGS4|7NK2J|7ZT58|7P2TT|9XF37|84NQ7","84NQ7",0,NA,"2023-03-02T01:39:29Z",6,"Could only match genus","1|0|0",0.75,NA,NA,NA,NA
"Okenia ascidicola","Okenia ascidicola",2,"Wikispecies","b0622ca1-1d8f-5483-963d-7229642a10e4","Okenia ascidicola","","","","625120",0,"http://species.wikimedia.org/wiki/Okenia_ascidicola","2023-03-01T19:39:04Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Onchidoris bilamellata","Onchidoris bilamellata",4,"National Center for Biotechnology Information","4072ca55-0f58-5201-a51d-23bd3b789c0a","Onchidoris bilamellata","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Doridina|Anadoridoidea|Onchidorididae|Onchidoris|Onchidoris bilamellata","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|superorder|order|infraorder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|680346|70849|216331|216335|71283|71369|76168","76168",0,NA,"2023-02-23T23:44:54Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Onchidoris muricata","Onchidoris muricata",4,"National Center for Biotechnology Information","b316d9d2-c05a-533a-9f8d-d3d0195ac190","Onchidoris muricata","|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Spiralia|Lophotrochozoa|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Nudipleura|Nudibranchia|Doridina|Anadoridoidea|Onchidorididae|Onchidoris|Onchidoris muricata","|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|class|subclass|clade|superorder|order|infraorder|superfamily|family|genus|species","131567|2759|33154|33208|6072|33213|33317|2697495|1206795|6447|6448|216305|216307|680346|70849|216331|216335|71283|71369|71370","71370",0,NA,"2023-02-23T23:44:45Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
